vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
4078,20220720 20:23,41.89521153767904,-87.72606926633601,91,6662,66,Navy Pier,13319,False,22224280,66 -804,
8191,20220720 20:23,41.89592742919922,-87.67527787228848,88,6662,66,Navy Pier,27251,False,22224278,SN  -858,
1951,20220720 20:23,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
1972,20220720 20:23,41.891114280337376,-87.61194428943452,88,6662,66,Navy Pier,46632,False,22224276,66 -815,
8124,20220720 20:23,41.89187550544739,-87.61825180053711,262,6665,66,Austin,2443,False,22224251,66 -814,
1934,20220720 20:23,41.89677696228027,-87.62474060058594,273,6665,66,Austin,5986,False,88355182,66 -809,
1917,20220720 20:23,41.89673614501953,-87.62772369384766,272,6665,66,Austin,6796,False,22224250,SN  -854,
1986,20220720 20:23,41.894860194279595,-87.76013770470253,83,6982,66,Pulaski,4004,False,88355221,SN  -852,
2021,20220720 20:25,41.89514366356102,-87.73345627655854,87,6662,66,Navy Pier,11272,False,88355179,SN  -859,
4078,20220720 20:25,41.895395278930664,-87.72080612182617,83,6662,66,Navy Pier,14790,False,22224280,66 -804,
8191,20220720 20:25,41.8960217656316,-87.66926100447371,88,6662,66,Navy Pier,28886,False,22224278,SN  -858,
1951,20220720 20:25,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
