vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
1934,20220720 19:45,41.8964958190918,-87.63679141998291,91,6662,66,Navy Pier,37833,False,88355183,66 -809,
1917,20220720 19:45,41.89667272567749,-87.6266622543335,90,6662,66,Navy Pier,40588,False,22224273,SN  -854,
1986,20220720 19:45,41.89597920009068,-87.67442321777344,266,6665,66,Austin,20111,False,88355186,SN  -852,
4078,20220720 19:45,41.895480473836265,-87.7193655791106,268,6665,66,Austin,32649,False,10005668,66 -804,
8191,20220720 19:45,41.89509608827788,-87.77446089119746,187,6665,66,Austin,48064,False,10005669,SN  -858,
2016,20220720 19:47,41.89678955078125,-87.62420654296875,268,4357,66,Pulaski,5841,False,88355189,66 -817,
2000,20220720 19:47,41.89577865600586,-87.68754689286395,268,4357,66,Pulaski,23928,False,88355189,66 -817,
8156,20220720 19:47,41.89483467308251,-87.76439295588312,90,6662,66,Navy Pier,2829,False,22224277,SN  -857,
1972,20220720 19:47,41.89558792114258,-87.70026359558105,94,6662,66,Navy Pier,20442,False,22224276,66 -815,
1951,20220720 19:47,41.89630889892578,-87.65560150146484,88,6662,66,Navy Pier,32606,True,22224272,66 -808,
8124,20220720 19:47,41.896297342637006,-87.65370447495404,88,6662,66,Navy Pier,33169,False,22224274,66 -814,
1934,20220720 19:47,41.89656314849854,-87.63268280029297,89,6662,66,Navy Pier,38951,False,88355183,66 -809,
1917,20220720 19:47,41.896690368652344,-87.62458801269531,92,6662,66,Navy Pier,41151,False,22224273,SN  -854,
1986,20220720 19:47,41.895873956512986,-87.67889712149636,275,6665,66,Austin,21428,False,88355186,SN  -852,
4078,20220720 19:47,41.89545429774693,-87.72320970807756,271,6665,66,Austin,33686,False,10005668,66 -804,
8191,20220720 19:47,41.89509608827788,-87.77446089119746,187,6665,66,Austin,48064,False,10005669,SN  -858,
2016,20220720 19:49,41.896747303009036,-87.6272087097168,267,4357,66,Pulaski,6656,False,88355189,66 -817,
2000,20220720 19:49,41.895696367536274,-87.69617189679828,274,4357,66,Pulaski,26302,False,88355189,66 -817,
8156,20220720 19:49,41.89486312866211,-87.7558559690203,90,6662,66,Navy Pier,5160,False,22224277,SN  -857,
1972,20220720 19:49,41.89558792114258,-87.69683074951172,94,6662,66,Navy Pier,21314,False,22224276,66 -815,
1951,20220720 19:49,41.89630889892578,-87.65560150146484,88,6662,66,Navy Pier,32606,True,22224272,66 -808,
8124,20220720 19:49,41.89646098652824,-87.64296647368884,95,6662,66,Navy Pier,36133,False,22224274,66 -814,
1934,20220720 19:49,41.89664659500122,-87.6276704788208,93,6662,66,Navy Pier,40314,False,88355183,66 -809,
1917,20220720 19:49,41.896645069122314,-87.62040939331055,151,6662,66,Navy Pier,42287,False,22224273,SN  -854,
1986,20220720 19:49,41.89585882519919,-87.68418181888642,266,6665,66,Austin,23028,False,88355186,SN  -852,
4078,20220720 19:49,41.895271242581885,-87.73141561654897,270,6665,66,Austin,35914,False,10005668,66 -804,
8191,20220720 19:49,41.89509608827788,-87.77446089119746,187,6665,66,Austin,48064,False,10005669,SN  -858,
2016,20220720 19:51,41.89671611785889,-87.62937927246094,271,4357,66,Pulaski,7246,False,88355189,66 -817,
2000,20220720 19:51,41.89564895629883,-87.70187503001729,272,4357,66,Pulaski,27844,False,88355189,66 -817,
8156,20220720 19:51,41.894901275634766,-87.75077029636928,96,6662,66,Navy Pier,6568,False,22224277,SN  -857,
1972,20220720 19:51,41.895751953125,-87.6876111237899,88,6662,66,Navy Pier,23876,False,22224276,66 -815,
1951,20220720 19:51,41.89630889892578,-87.65560150146484,88,6662,66,Navy Pier,32606,True,22224272,66 -808,
8124,20220720 19:51,41.89645004272461,-87.6407133102417,88,6662,66,Navy Pier,36767,False,22224274,66 -814,
1934,20220720 19:51,41.89670944213867,-87.62381744384766,100,6662,66,Navy Pier,41360,False,88355183,66 -809,
1917,20220720 19:51,41.892712116241455,-87.62032318115234,178,6662,66,Navy Pier,43734,False,22224273,SN  -854,
1986,20220720 19:51,41.89577638185941,-87.68935438302847,265,6665,66,Austin,24421,False,88355186,SN  -852,
4078,20220720 19:51,41.89510645185198,-87.74347348894392,267,6665,66,Austin,39244,False,10005668,66 -804,
8191,20220720 19:51,41.89509608827788,-87.77446089119746,187,6665,66,Austin,48064,False,10005669,SN  -858,
2016,20220720 19:53,41.896610260009766,-87.63347625732422,264,4357,66,Pulaski,8401,False,88355189,66 -817,
2000,20220720 19:53,41.89555753510574,-87.70819460112473,269,4357,66,Pulaski,29560,False,88355189,66 -817,
8191,20220720 19:53,41.894752502441406,-87.7711410522461,88,6662,66,Navy Pier,983,False,22224278,SN  -858,
8156,20220720 19:53,41.8948974609375,-87.74580764770508,91,6662,66,Navy Pier,7909,False,22224277,SN  -857,
1972,20220720 19:53,41.89582443237305,-87.68211364746094,91,6662,66,Navy Pier,25327,False,22224276,66 -815,
1951,20220720 19:53,41.89630889892578,-87.65560150146484,88,6662,66,Navy Pier,32606,True,22224272,66 -808,
8124,20220720 19:53,41.896549224853516,-87.6338960647583,90,6662,66,Navy Pier,38621,False,22224274,66 -814,
1934,20220720 19:53,41.89674377441406,-87.62109718322753,87,6662,66,Navy Pier,42098,False,88355183,66 -809,
1917,20220720 19:53,41.891014099121094,-87.61835460662842,92,6662,66,Navy Pier,44897,False,22224273,SN  -854,
1986,20220720 19:53,41.895698819841655,-87.69620500292096,272,6665,66,Austin,26311,False,88355186,SN  -852,
4078,20220720 19:53,41.89502264169546,-87.7486579308143,269,6665,66,Austin,40649,False,10005668,66 -804,
2016,20220720 19:55,41.89657974243164,-87.63668746948242,269,4357,66,Pulaski,9314,False,88355189,66 -817,
2000,20220720 19:55,41.895560514009915,-87.71576009897085,268,4357,66,Pulaski,31649,False,88355189,66 -817,
8191,20220720 19:55,41.894818950343776,-87.76371816686682,89,6662,66,Navy Pier,3035,False,22224278,SN  -858,
8156,20220720 19:55,41.8950553894043,-87.73827514648437,91,6662,66,Navy Pier,9956,False,22224277,SN  -857,
1972,20220720 19:55,41.895912170410156,-87.67680526733399,85,6662,66,Navy Pier,26831,False,22224276,66 -815,
1951,20220720 19:55,41.89630889892578,-87.65560150146484,88,6662,66,Navy Pier,32606,True,22224272,66 -808,
8124,20220720 19:55,41.896636962890625,-87.62841033935547,84,6662,66,Navy Pier,40113,False,22224274,66 -814,
1934,20220720 19:55,41.89428682327271,-87.62035236358642,178,6662,66,Navy Pier,43164,False,88355183,66 -809,
1917,20220720 19:55,41.89103551344438,-87.61510848999023,78,6662,66,Navy Pier,45782,False,22224273,SN  -854,
1986,20220720 19:55,41.89567372336317,-87.69947997135903,270,6665,66,Austin,27207,False,88355186,SN  -852,
4078,20220720 19:55,41.8950309753418,-87.75582885742188,269,6665,66,Austin,42592,False,10005668,66 -804,
2016,20220720 19:57,41.896480560302734,-87.64275888296274,266,4357,66,Pulaski,11107,False,88355189,66 -817,
2000,20220720 19:57,41.8954465230306,-87.72295277913412,271,4357,66,Pulaski,33609,False,88355189,66 -817,
8191,20220720 19:57,41.894901275634766,-87.75382009652945,89,6662,66,Navy Pier,5718,False,22224278,SN  -858,
8156,20220720 19:57,41.89517665254897,-87.73111691682234,90,6662,66,Navy Pier,11909,False,22224277,SN  -857,
1972,20220720 19:57,41.89602269353093,-87.66923780699034,89,6662,66,Navy Pier,28892,False,22224276,66 -815,
1951,20220720 19:57,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
8124,20220720 19:57,41.89671649932861,-87.62330513000488,88,6662,66,Navy Pier,41500,False,22224274,66 -814,
1934,20220720 19:57,41.891039241443984,-87.62028503417969,160,6662,66,Navy Pier,44339,False,88355183,66 -809,
1917,20220720 19:57,41.892494201660156,-87.6112801688058,50,6662,66,Navy Pier,47302,False,22224273,SN  -854,
1986,20220720 19:57,41.895560968117636,-87.70733630070922,266,6665,66,Austin,29332,False,88355186,SN  -852,
4078,20220720 19:57,41.894904368632545,-87.76360341664908,266,6665,66,Austin,44768,False,10005668,66 -804,
2016,20220720 19:59,41.89639663696289,-87.65186990591197,268,4357,66,Pulaski,13747,False,88355189,66 -817,
2000,20220720 19:59,41.895273333333336,-87.72614,208,4357,66,Pulaski,34360,False,88355189,66 -817,
8191,20220720 19:59,41.8949089050293,-87.74652862548828,89,6662,66,Navy Pier,7702,False,22224278,SN  -858,
1972,20220720 19:59,41.89613151550293,-87.66419792175293,83,6662,66,Navy Pier,30290,False,22224276,66 -815,
1951,20220720 19:59,41.896270751953125,-87.65560150146484,88,6662,66,Navy Pier,32620,True,22224272,66 -808,
8124,20220720 19:59,41.895564270019534,-87.62037658691406,100,6662,66,Navy Pier,42695,False,22224274,66 -814,
1934,20220720 19:59,41.89103403958407,-87.61517333984375,95,6662,66,Navy Pier,45764,False,88355183,66 -809,
1917,20220720 19:59,41.892485,-87.60999,180,6662,66,Navy Pier,47879,False,22224273,SN  -854,
1986,20220720 19:59,41.895555114746095,-87.71207071940104,258,6665,66,Austin,30618,False,88355186,SN  -852,
4078,20220720 19:59,41.894775390625,-87.77002943323014,276,6665,66,Austin,46516,False,10005668,66 -804,
2016,20220720 20:01,41.896278381347656,-87.65963188377586,269,4357,66,Pulaski,15882,False,88355189,66 -817,
8191,20220720 20:01,41.89513397216797,-87.73416846139091,88,6662,66,Navy Pier,11078,False,22224278,SN  -858,
1972,20220720 20:01,41.89622116088867,-87.65595708574567,89,6662,66,Navy Pier,32527,False,22224276,66 -815,
