vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
1575,20220720 17:24,41.73307628631592,-87.66290283203125,1,582,9,Irving Park,11655,False,10001965,9 -654,
8048,20220720 17:24,41.77352961555856,-87.66392517089844,358,582,9,Irving Park,26488,False,10001966,9 -611,
8046,20220720 17:24,41.854956817626956,-87.66607646942138,359,582,9,Irving Park,57042,False,10001968,9 -651,
8057,20220720 17:23,41.90345754623413,-87.66741180419922,2,582,9,Irving Park,74821,False,10001970,9 -607,
8036,20220720 17:23,41.93920841217041,-87.66849746704102,2,582,9,Irving Park,87932,False,10001971,9 -605,
8032,20220720 17:23,41.75601921081543,-87.66350555419922,0,3637,9,74th,13153,False,10002078,X9  -614,
8225,20220720 17:24,41.75575666666667,-87.664055,90,3639,9,74th,19911,False,10002045,9 -652,
8077,20220720 17:23,41.886771425287776,-87.66709185661153,178,9375,9,104th/Vincennes,28098,False,10001977,N9  -697,
8088,20220720 17:23,41.86935043334961,-87.66655506807216,179,9375,9,104th/Vincennes,34472,False,10001995,9 -618,
1497,20220720 17:23,41.79787877400716,-87.66478342692058,181,9375,9,104th/Vincennes,61598,False,10001994,9 -619,
1463,20220720 17:24,41.7467013842439,-87.66341577817316,178,9375,9,104th/Vincennes,80379,False,10002006,9 -601,
1486,20220720 17:23,41.705466666666666,-87.65658,197,9375,9,104th/Vincennes,95775,False,10004079,9 -615,
1575,20220720 17:26,41.73994784884982,-87.66309441460504,359,582,9,Irving Park,14169,False,10001965,9 -654,
8048,20220720 17:27,41.78318786621094,-87.66419982910156,358,582,9,Irving Park,30068,False,10001966,9 -611,
8046,20220720 17:26,41.863358270554315,-87.66625140962147,358,582,9,Irving Park,60101,False,10001968,9 -651,
8057,20220720 17:26,41.90758934020996,-87.66752624511719,358,582,9,Irving Park,76331,False,10001970,9 -607,
8036,20220720 17:26,41.94594955444336,-87.66875457763672,359,582,9,Irving Park,90394,False,10001971,9 -605,
8077,20220720 17:27,41.88111867402729,-87.66686730635793,177,9375,9,104th/Vincennes,30188,False,10001977,N9  -697,
8088,20220720 17:26,41.866947174072266,-87.6664810180664,177,9375,9,104th/Vincennes,35405,False,10001995,9 -618,
1497,20220720 17:27,41.79091396331787,-87.6645933151245,179,9375,9,104th/Vincennes,64118,False,10001994,9 -619,
1463,20220720 17:27,41.73931474685669,-87.66324481964111,178,9375,9,104th/Vincennes,83049,False,10002006,9 -601,
1486,20220720 17:26,41.705466666666666,-87.65658,197,9375,9,104th/Vincennes,95775,True,10004079,9 -615,
1575,20220720 17:28,41.744978523254396,-87.66319923400879,359,582,9,Irving Park,16006,False,10001965,9 -654,
8048,20220720 17:29,41.79355268478393,-87.6644681930542,1,582,9,Irving Park,33855,False,10001966,9 -611,
8046,20220720 17:29,41.87158896706321,-87.66634368896484,357,582,9,Irving Park,63152,False,10001968,9 -651,
8057,20220720 17:28,41.91544942855835,-87.66773986816406,0,582,9,Irving Park,79208,False,10001970,9 -607,
8036,20220720 17:29,41.95292370135967,-87.66893005371094,356,582,9,Irving Park,92943,False,10001971,9 -605,
8077,20220720 17:29,41.87640724182129,-87.66674938201905,179,9375,9,104th/Vincennes,31874,False,10001977,N9  -697,
8088,20220720 17:28,41.85869085138494,-87.6661605834961,179,9375,9,104th/Vincennes,38573,False,10001995,9 -618,
1497,20220720 17:29,41.786694622039796,-87.66447448730469,172,9375,9,104th/Vincennes,65732,False,10001994,9 -619,
1463,20220720 17:28,41.73585670225082,-87.66316986083984,179,9375,9,104th/Vincennes,84333,False,10002006,9 -601,
1486,20220720 17:29,41.705466666666666,-87.65658,197,9375,9,104th/Vincennes,95775,True,10004079,9 -615,
1575,20220720 17:31,41.750454616546634,-87.66334590911865,10,582,9,Irving Park,18012,False,10001965,9 -654,
8048,20220720 17:31,41.80336799621582,-87.66474208831787,358,582,9,Irving Park,37439,False,10001966,9 -611,
8046,20220720 17:31,41.875171038569235,-87.66654968261719,0,582,9,Irving Park,64479,False,10001968,9 -651,
8057,20220720 17:31,41.917789459228516,-87.66779327392578,347,582,9,Irving Park,80075,False,10001970,9 -607,
8036,20220720 17:31,41.95431137084961,-87.66746346155803,87,582,9,Irving Park,93888,False,10001971,9 -605,
8077,20220720 17:31,41.8716716108651,-87.66659203891096,180,9375,9,104th/Vincennes,33623,False,10001977,N9  -697,
8088,20220720 17:30,41.857107944175844,-87.66617496678087,178,9375,9,104th/Vincennes,39155,False,10001995,9 -618,
1497,20220720 17:29,41.783088493347165,-87.66439056396484,180,9375,9,104th/Vincennes,67048,False,10001994,9 -619,
1463,20220720 17:30,41.728913402557374,-87.66297149658203,177,9375,9,104th/Vincennes,86848,False,10002006,9 -601,
1486,20220720 17:31,41.705466666666666,-87.65658,197,9375,9,104th/Vincennes,95775,True,10004079,9 -615,
1575,20220720 17:32,41.75583629608154,-87.6635139465332,6,582,9,Irving Park,19966,False,10001965,9 -654,
8048,20220720 17:32,41.80900437084597,-87.66482908334305,3,582,9,Irving Park,39520,False,10001966,9 -611,
8046,20220720 17:33,41.87922037564791,-87.66658988365761,0,582,9,Irving Park,65999,False,10001968,9 -651,
8057,20220720 17:33,41.92273788452148,-87.66832275390625,11,582,9,Irving Park,81902,False,10001970,9 -607,
