vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
8043,20220720 18:53,41.920289039611816,-87.66852188110352,172,15955,X9,74th,17360,False,10001802,9 -608,
8221,20220720 18:53,41.879779584480055,-87.66682434082031,175,15955,X9,74th,32227,False,10002347,9 -614,
8093,20220720 18:55,41.852299499511716,-87.66614510672433,182,4658,X9,95th,42405,False,10002346,9 -655,
8025,20220720 18:55,41.80555542655613,-87.66497902248217,180,4658,X9,95th,60254,False,10002345,X9  -612,
8033,20220720 18:55,41.77160303216232,-87.66400909423828,177,4658,X9,95th,72704,False,10002343,X9  -663,
1453,20220720 18:55,41.768210614313844,-87.66392517089844,178,4658,X9,95th,73935,False,10002344,X9  -603,
8225,20220720 18:55,41.94650983810425,-87.66876220703125,0,8470,X9,Irving Park/Broadway,83484,False,10001762,X9  -655,
8094,20220720 18:55,41.95438612268326,-87.66225969030502,88,8470,X9,Irving Park/Broadway,88153,False,10001763,X9  -654,
8074,20220720 18:55,41.95454025268555,-87.65122296259953,268,8470,X9,Irving Park/Broadway,93262,True,10001764,N9  -696,
8040,20220720 18:54,41.95454025268555,-87.65122663057767,266,8470,X9,Irving Park/Broadway,93263,False,10002429,X9  -653,
8095,20220720 18:55,41.9193421681722,-87.66837743123372,173,15955,X9,74th,17708,False,10001803,9 -609,
8043,20220720 18:55,41.9182475761131,-87.66814295450847,168,15955,X9,74th,18108,False,10001802,9 -608,
8221,20220720 18:55,41.86887959071568,-87.6665370123727,178,15955,X9,74th,36223,False,10002347,9 -614,
8093,20220720 18:56,41.842386665990794,-87.66593170166016,179,4658,X9,95th,45979,False,10002346,9 -655,
8025,20220720 18:57,41.79781069074358,-87.66478947230748,180,4658,X9,95th,63092,False,10002345,X9  -612,
8033,20220720 18:56,41.76816521316278,-87.66392517089844,178,4658,X9,95th,73941,False,10002343,X9  -663,
1453,20220720 18:57,41.75961118755919,-87.6637191772461,178,4658,X9,95th,77094,False,10002344,X9  -603,
8225,20220720 18:57,41.953812503814696,-87.66894931793213,358,8470,X9,Irving Park/Broadway,86164,False,10001762,X9  -655,
8094,20220720 18:57,41.95392648379008,-87.65452686945598,179,8470,X9,Irving Park/Broadway,90615,False,10001763,X9  -654,
